Image,Name,Role,Batting_Style,Bowling_style,Nationality,Bat_Career,Bat_matches,Not_out,Runs,Highest_score,Avg,Ball_faced,Strike_rate,100s,50s,4s,6s,Catches,Stumping,Bowl_Career,Bowl_matches,Bowl_balls,Bowl_runs,Wickets,Best_bowlfig,Bowl_avg,Bowl_Eco,Bowl_strike_rate,Bowl_4W,Bowl_5W
https://assets.iplt20.com/ipl/IPLHeadshot2022/1.png,MS Dhoni,Wicketkeeper Batter,Right-handed,Right-arm Medium,Indian,Career,234,79,4978,84*,39.20,3682,135.20,0,24,346,229,135,39,Career,234,0,0,0,-,-,-,-,0,0
https://assets.iplt20.com/ipl/IPLHeadshot2022/20572.png,Devon Conway,WK-Batsman,Left-handed,Right-arm Medium,South African,Career,7,1,252,87,42.00,173,145.66,0,3,22,12,2,0,Career,7,0,0,0,-,-,-,-,0,0
https://assets.iplt20.com/ipl/IPLHeadshot2022/5443.png,Ruturaj Gaikwad,Batter,Right-handed,N/A,Indian,Career,36,4,1207,101*,37.72,926,130.35,1,10,113,43,14,0,Career,36,0,0,0,-,-,-,-,0,0
https://assets.iplt20.com/ipl/IPLHeadshot2022/20574.png,Subhranshu Senapati,Batter,Left-handed,Right-arm Medium,Indian,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
https://assets.iplt20.com/ipl/IPLHeadshot2022/100.png,Ambati Rayudu,Wicketkeeper Batter,Right-handed,Right-arm Off-spin,Indian,Career,188,31,4190,100*,29.10,3296,127.12,1,22,349,164,62,2,Career,188,18,22,0,0/22,-,7.33,-,0,0
https://assets.iplt20.com/ipl/IPLHeadshot2022/9.png,Ravindra Jadeja,All-rounder,Left-handed,Left-arm Orthodox Spin,Indian,Career,210,67,2502,62*,26.62,1961,127.59,0,2,182,90,88,0,Career,210,3205,4064,132,5/16,30.79,7.61,24.28,3,1
https://assets.iplt20.com/ipl/IPLHeadshot2022/20573.png,Dwaine Pretorius,Bowling Allrounder,Left-handed,Right-arm Fast-medium,South African,Career,6,1,44,22,11.00,28,157.14,0,0,3,3,2,0,Career,6,126,210,6,2/30,35.00,10.00,21.00,0,0
https://assets.iplt20.com/ipl/IPLHeadshot2022/1903.png,Mitchell Santner,Bowling all-rounder,Left-handed,Left-arm Orthodox,New Zealander,Career,12,3,54,22,18.00,50,108.00,0,0,3,3,4,0,Career,12,240,277,10,2/13,27.70,6.93,24.00,0,0
https://www.iplt20.com/assets/images/default-headshot.png,K Bhagath Varma,All-rounder,Right-handed,Right-arm Offbreak,Indian,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
https://assets.iplt20.com/ipl/IPLHeadshot2022/1735.png,Moeen Ali,Batting all-rounder,Left-handed,Right-arm Offbreak,English,Career,44,3,910,93,23.33,632,143.99,0,5,76,53,16,0,Career,44,554,627,24,3/13,26.13,6.79,23.08,0,0
