Image,Name,Role,Batting_Style,Bowling_style,Nationality,Bat_Career,Bat_matches,Not_out,Runs,Highest_score,Avg,Ball_faced,Strike_rate,100s,50s,4s,6s,Catches,Stumping,Bowl_Career,Bowl_matches,Bowl_balls,Bowl_runs,Wickets,Best_bowlfig,Bowl_avg,Bowl_Eco,Bowl_strike_rate,Bowl_4W,Bowl_5W
https://assets.iplt20.com/ipl/IPLHeadshot2022/2972.png,Rishabh Pant,Wicketkeeper Batter,Left-handed,N/A,Indian,Career,98,15,2838,128*,34.61,1918,147.97,1,15,260,129,64,18,Career,98,0,0,0,-,-,-,-,0,0
https://assets.iplt20.com/ipl/IPLHeadshot2022/170.png,David Warner,Batter,Left-handed,Right-arm Leg Spin,Australian,Career,162,22,5881,126,42.01,4180,140.69,4,55,577,216,71,0,Career,162,1,2,0,0/2,-,12.00,-,0,0
https://assets.iplt20.com/ipl/IPLHeadshot2022/3764.png,Prithvi Shaw,Batter,Right-handed,N/A,Indian,Career,63,0,1588,99,25.21,1077,147.45,0,12,192,55,15,0,Career,63,0,0,0,-,-,-,-,0,0
https://assets.iplt20.com/ipl/IPLHeadshot2022/3333.png,Rovman Powell,Batter,Right-handed,N/A,West Indian,Career,14,2,250,67*,25.00,167,149.70,0,1,10,22,10,0,Career,14,6,17,0,0/17,-,17.00,-,0,0
https://assets.iplt20.com/ipl/IPLHeadshot2022/1113.png,Axar Patel,All-rounder,Left-handed,Left-arm Orthodox Spin,Indian,Career,122,29,1135,44,19.24,881,128.83,0,0,67,54,52,0,Career,122,2553,3083,101,4/21,30.52,7.25,25.28,1,0
https://assets.iplt20.com/ipl/IPLHeadshot2022/3766.png,Kamlesh Nagarkoti,Bowler,Right-handed,Medium Seam,Indian,Career,12,3,22,8*,5.50,33,66.67,0,0,1,0,6,0,Career,12,180,285,5,2/13,57.00,9.50,36.00,0,0
https://assets.iplt20.com/ipl/IPLHeadshot2022/6870.png,Lalit Yadav, All-Rounder,Right-handed,Off Spin,Indian,Career,19,4,229,48*,25.44,219,104.57,0,0,18,7,11,0,Career,19,192,251,8,2/11,31.38,7.84,24.00,0,0
https://assets.iplt20.com/ipl/IPLHeadshot2022/221.png,Mitchell Marsh,All-rounder,Right-handed,Right-arm Medium,Australian,Career,29,2,477,89,22.71,386,123.58,0,2,28,28,7,0,Career,29,391,522,24,4/25,21.75,8.01,16.29,1,0
https://assets.iplt20.com/ipl/IPLHeadshot2022/3188.png,Pravin Dubey,Bowler,Right-handed,Leg Spin,Indian,Career,3,1,7,7*,-,13,53.85,0,0,0,0,1,0,Career,3,48,72,0,0/14,-,9.00,-,0,0
https://assets.iplt20.com/ipl/IPLHeadshot2022/17191.png,Ripal Patel,Batter,Right-handed,Right-arm Fast-medium,Indian,Career,4,1,31,18,15.50,30,103.33,0,0,3,1,1,0,Career,4,18,22,0,0/22,-,7.33,-,0,0
