Image,Name,Role,Batting_Style,Bowling_style,Nationality,Bat_Career,Bat_matches,Not_out,Runs,Highest_score,Avg,Ball_faced,Strike_rate,100s,50s,4s,6s,Catches,Stumping,Bowl_Career,Bowl_matches,Bowl_balls,Bowl_runs,Wickets,Best_bowlfig,Bowl_avg,Bowl_Eco,Bowl_strike_rate,Bowl_4W,Bowl_5W
https://assets.iplt20.com/ipl/IPLHeadshot2022/2740.png,Hardik Pandya,All-rounder,Right-handed,Right-arm Medium Fast,Indian,Career,107,35,1963,91,30.2,1330,147.59,0,8,146,110,57,0,Career,107,1052,1535,50,Mar-17,30.7,8.75,21.04,0,0
https://assets.iplt20.com/ipl/IPLHeadshot2022/20589.png,Abhinav Manohar,Batter,Right-handed,Right Arm Leg Break Medium,Indian,Career,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
https://assets.iplt20.com/ipl/IPLHeadshot2022/187.png,David Miller,Batter,Left-handed,Right-arm Off-spin,South African,Career,105,35,2455,101*,37.2,1783,137.69,1,12,169,113,59,0,Career,105,0,0,0,-,-,-,-,0,0
https://assets.iplt20.com/ipl/IPLHeadshot2022/3761.png,Shubman Gill,Batter,Right-handed,N/A,Indian,Career,74,12,1900,96,32.2,1517,125.25,0,14,188,47,30,0,Career,74,0,0,0,-,-,-,-,0,0
https://assets.iplt20.com/ipl/IPLHeadshot2022/290.png,Matthew Wade,Wicket-Keeper,Left-handed,N/A,Australian,Career,13,0,179,35,13.77,171,104.68,0,0,23,2,7,1,Career,10,0,0,0,-,-,-,-,0,0
https://assets.iplt20.com/ipl/IPLHeadshot2022/16.png,Wriddhiman Saha,Wicketkeeper Batter,Right-handed,N/A,Indian,Career,144,23,2427,115*,25.28,1898,127.87,1,11,231,76,79,22,Career,140,0,0,0,-,-,-,-,0,0
https://assets.iplt20.com/ipl/IPLHeadshot2022/20592.png,B. Sai Sudharsan,All Rounder,Left-handed,Right Arm Leg Break Medium,Indian,Career,5,1,145,65*,36.25,114,127.19,0,1,14,3,1,0,Career,5,0,0,0,-,-,-,-,0,0
https://assets.iplt20.com/ipl/IPLHeadshot2022/4447.png,Darshan Nalkande,All Rounder,Right-handed,Right Arm Fast,Indian,Career,2,0,0,0,-,,-,0,0,0,0,0,0,Career,2,31,59,2,Feb-37,29.5,11.42,15.5,0,0
https://assets.iplt20.com/ipl/IPLHeadshot2022/1740.png,Jayant Yadav,Bowler,Right-handed,Right-arm Off-spin,Indian,Career,19,1,40,23,10,36,111.11,0,0,2,1,6,0,Career,19,366,419,8,Jan-23,52.38,6.87,45.75,0,0
https://assets.iplt20.com/ipl/IPLHeadshot2022/91.png,Pradeep Sangwan,Bowler,Right-handed,Left-arm Medium Fast,Indian,Career,42,3,26,6*,2.17,44,59.09,0,0,1,0,4,0,Career,42,856,1240,38,Mar-18,32.63,8.69,22.53,0,0
https://assets.iplt20.com/ipl/IPLHeadshot2022/1749.png,Rahul Tewatia,Bowler,Left-handed,Right-arm Leg Spin,Indian,Career,64,17,738,53,25.45,566,130.39,0,1,57,35,24,0,Career,64,830,1096,32,Mar-18,34.25,7.92,25.94,0,0
https://www.iplt20.com/assets/images/default-headshot.png,Shivam Mavi,Bowler,Right-handed,Right-arm Fast Medium,Indian,Career,32,3,51,20,5.67,56,91.07,0,0,4,2,16,0,Career,32,649,942,30,Apr-21,31.4,8.71,21.63,1,0
https://assets.iplt20.com/ipl/IPLHeadshot2022/1083.png,Vijay Shankar,All-rounder,Right-handed,Right-arm Offbreak,Indian,Career,51,12,731,63*,23.58,599,122.04,0,3,46,28,24,0,Career,51,238,344,9,Feb-19,38.22,8.67,26.44,0,0
https://assets.iplt20.com/ipl/IPLHeadshot2022/3098.png,Alzarri Joseph,Bowler,Right-handed,Right-arm Fast-medium,West Indian,Career,12,4,20,15*,20,20,100,0,0,2,0,2,0,Career,12,232,351,13,06-Dec,27,9.08,17.85,0,1
https://assets.iplt20.com/ipl/IPLHeadshot2022/94.png,Mohammad Shami,Bowler,Right-handed,Right-arm Medium,Indian,Career,93,12,69,21,6.27,73,94.52,0,0,5,2,14,0,Career,93,2036,2890,99,Mar-15,29.19,8.52,20.57,0,0
https://assets.iplt20.com/ipl/IPLHeadshot2022/7123.png,Sai Kishore,Bowler,Left-handed,Left Arm Orthodox,Indian,Career,5,0,0,0,-,,-,0,0,0,0,3,0,Career,5,96,121,6,02-Jul,20.17,7.56,16,0,0
https://assets.iplt20.com/ipl/IPLHeadshot2022/2885.png,Rashid Khan,Bowler,Right-handed,Legbreak Googly,Afghan,Career,92,15,313,40,11.18,206,151.94,0,0,20,22,27,0,Career,92,2195,2333,112,Apr-24,20.83,6.38,19.6,1,0
https://assets.iplt20.com/ipl/IPLHeadshot2022/20591.png,Yash Dayal,Bowler,Left-handed,Left Arm Medium,Indian,Career,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
https://www.iplt20.com/assets/images/default-headshot.png,Kane Williamson,Batter,Right-handed,Right-arm Off-spin,New Zealander,Career,76,17,2101,89,36.22,1667,126.03,0,18,182,64,39,0,Career,76,18,31,0,0/24,-,10.33,-,0,0
https://www.iplt20.com/assets/images/default-headshot.png,Joshua Little,Bowler,Right-handed,Left Arm Fast,Ireland,Career,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
https://www.iplt20.com/assets/images/default-headshot.png,Odean Smith,All-rounder,Right-handed,Right-arm Medium Fast,West Indian,Career,6,3,51,25*,17,44,115.91,0,0,1,5,2,0,Career,6,90,178,6,Apr-30,29.67,11.87,15,1,0
https://www.iplt20.com/assets/images/default-headshot.png,Urvil Patel,Wicketkeeper,Right-handed,N/A,Indian,Career,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
https://www.iplt20.com/assets/images/default-headshot.png,K.S Bharat,Wicketkeeper Batter,Right-handed,N/A,Indian,Career,10,2,199,78*,28.43,163,122.09,0,1,12,8,4,1,Career,10,0,0,0,-,-,-,-,0,0
https://www.iplt20.com/assets/images/default-headshot.png,Mohit Sharma,Bowler,Right-handed,Right-arm Medium,Indian,Career,70,11,122,21*,8.71,112,108.93,0,0,8,4,16,0,Career,86,1754,2470,92,Apr-14,26.85,8.45,19.07,1,0
https://assets.iplt20.com/ipl/IPLHeadshot2022/20590.png,Noor Ahmad,Bowler,Right-handed,Left-arm Wrist Spin,Afghan,Career,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
