Image,Name,Role,Batting_Style,Bowling_style,Nationality,Bat_Career,Bat_matches,Not_out,Runs,Highest_score,Avg,Ball_faced,Strike_rate,100s,50s,4s,6s,Catches,Stumping,Bowl_Career,Bowl_matches,Bowl_balls,Bowl_runs,Wickets,Best_bowlfig,Bowl_avg,Bowl_Eco,Bowl_strike_rate,Bowl_4W,Bowl_5W
https://assets.iplt20.com/ipl/IPLHeadshot2022/1563.png,Shreyas Iyer,Batter,Right-handed,Right-arm Off-break,Indian,Career,101,13,2776,96,31.55,2214,125.38,0,19,237,99,39,0,Career,101,6,7,0,0/7,-,7.00,-,0,0
https://assets.iplt20.com/ipl/IPLHeadshot2022/3830.png,Rinku Singh,Batter,Left-handed,Right-arm Offbreak,Indian,Career,17,3,251,42*,20.92,193,130.05,0,0,23,9,15,0,Career,17,0,0,0,-,-,-,-,0,0
https://www.iplt20.com/assets/images/default-headshot.png,Rahmanullah Gurbaz,Batter,Right-handed,N/A,Afghan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
https://www.iplt20.com/assets/images/default-headshot.png,David Wiese,All-rounder,Right-handed,Right-arm Medium-fast,South African,Career,15,4,127,47*,31.75,90,141.11,0,0,12,4,6,0,Career,15,278,402,16,4/33,25.13,8.68,17.38,1,0
https://www.iplt20.com/assets/images/default-headshot.png,Kulwant Khejroliya,Bowler,Left-handed,Bowler,Indian,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
https://www.iplt20.com/assets/images/default-headshot.png,Suyash Sharma,Bowler,Right-handed,Right Arm Leg Spin,Indian,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
https://assets.iplt20.com/ipl/IPLHeadshot2022/2738.png,Nitish Rana,Batter,Left-handed,Right-arm Off-break,Indian,Career,91,8,2181,87,28.32,1625,134.22,0,15,190,111,21,0,Career,91,127,177,7,2/11,25.29,8.36,18.14,0,0
https://assets.iplt20.com/ipl/IPLHeadshot2022/3774.png,Anukul Roy,Batting Allrounder,Left-handed,Left-arm Orthodox,Indian,Career,2,0,0,0,0.00,2,0.00,0,0,0,0,1,0,Career,3,54,66,2,1/11,33.00,7.33,27.00,0,0
https://www.iplt20.com/assets/images/default-headshot.png,Lockie Ferguson,Bowler,Right-handed,Right Arm Fast,New Zealander,Career,35,7,67,24*,33.50,45,148.89,0,0,6,2,5,0,Career,35,765,1075,36,4/28,29.86,8.43,21.25,1,0
https://assets.iplt20.com/ipl/IPLHeadshot2022/177.png,Andre Russell,All-rounder,Right-handed,Right-arm Fast,West Indian,Career,98,15,2035,88*,30.37,1144,177.88,0,10,137,175,26,0,Career,98,1430,2179,89,5/15,24.48,9.14,16.07,2,1
https://assets.iplt20.com/ipl/IPLHeadshot2022/8540.png,Venkatesh Iyer,All-rounder,Left-handed,Right-arm Medium,Indian,Career,22,2,552,67,27.60,457,120.79,0,5,54,21,11,0,Career,22,75,115,3,2/29,38.33,9.20,25.00,0,0
https://assets.iplt20.com/ipl/IPLHeadshot2022/59.png,Umesh Yadav,Bowler,Right-handed,Right-arm Medium Fast,Indian,Career,133,27,177,24*,9.83,168,105.36,0,0,15,8,35,0,Career,133,2810,3897,135,4/23,28.87,8.32,20.81,3,0
https://assets.iplt20.com/ipl/IPLHeadshot2022/20626.png,Harshit Rana,Bowler,Right-handed,Right-arm Medium,Indian,Career,2,1,2,2,2.00,2,100.00,0,0,0,0,0,0,Career,2,30,51,1,1/24,51.00,10.20,30.00,0,0
https://assets.iplt20.com/ipl/IPLHeadshot2022/307.png,Tim Southee,Bowler,Right-handed,Right-arm Medium Fast,New Zealander,Career,48,7,120,36*,9.23,107,112.15,0,0,8,4,23,0,Career,52,1170,1663,45,3/20,36.96,8.53,26.00,0,0
https://www.iplt20.com/assets/images/default-headshot.png,Shardul Thakur,Bowler,Right-handed,Right-arm Medium,Indian,Career,75,8,173,29*,10.81,134,129.10,0,0,12,8,24,0,Career,75,1550,2340,82,4/36,28.54,9.06,18.90,1,0
https://assets.iplt20.com/ipl/IPLHeadshot2022/203.png,Sunil Narine,Bowler,Left-handed,Right-arm Off-spin,West Indian,Career,148,17,1025,75,14.86,630,162.70,0,4,112,63,24,0,Career,148,3458,3820,152,5/19,25.13,6.63,22.75,7,1
https://www.iplt20.com/assets/images/default-headshot.png,Vaibhav Arora,Bowler,Right-handed,Fast Seam,Indian,Career,5,2,5,2,2.50,13,38.46,0,0,0,0,1,0,Career,5,107,164,3,2/21,54.67,9.20,35.67,0,0
https://assets.iplt20.com/ipl/IPLHeadshot2022/5432.png,Varun Chakaravarthy,Bowler,Right-handed,Right Arm Legbreak,Indian,Career,42,7,24,10*,8.00,37,64.86,0,0,2,0,6,0,Career,42,972,1171,42,5/20,27.88,7.23,23.14,0,1
https://www.iplt20.com/assets/images/default-headshot.png,Narayan Jagadeesan,Wicketkeeper Batter,Right-handed,N/A,Indian,Career,7,1,73,39*,24.33,66,110.61,0,0,7,1,0,0,Career,7,0,0,0,-,-,-,-,0,0
https://www.iplt20.com/assets/images/default-headshot.png,Litton Das,Wicketkeeper,Right-handed,N/A,Bangladesh,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
https://www.iplt20.com/assets/images/default-headshot.png,Mandeep Singh,Batter,Right-handed,Right-arm Medium,Indian,Career,108,16,1692,77*,21.42,1361,124.32,0,6,175,37,36,0,Career,108,30,49,1,1/23,49.00,9.80,30.00,0,0
https://www.iplt20.com/assets/images/default-headshot.png,Shakib Al Hasan,All-rounder,Left-handed,Left-arm Orthodox Spin,Bangladeshi,Career,71,12,793,66,19.83,637,124.49,0,2,73,21,14,0,Career,71,1484,1839,63,3/17,29.19,7.44,23.56,0,0
