Image,Name,Role,Batting_Style,Bowling_style,Nationality,Bat_Career,Bat_matches,Not_out,Runs,Highest_score,Avg,Ball_faced,Strike_rate,100s,50s,4s,6s,Catches,Stumping,Bowl_Career,Bowl_matches,Bowl_balls,Bowl_runs,Wickets,Best_bowlfig,Bowl_avg,Bowl_Eco,Bowl_strike_rate,Bowl_4W,Bowl_5W
https://assets.iplt20.com/ipl/IPLHeadshot2022/1125.png,KL Rahul,Wicketkeeper Batter,Right-handed,N/A,Indian,Career,109,19,3889,132*,48.01,2855,136.22,4,31,327,164,57,5,Career,104,0,0,0,-,-,-,-,0,0
https://assets.iplt20.com/ipl/IPLHeadshot2022/1085.png,Manan Vohra,Batter,Right-handed,Right-arm Medium,Indian,Career,55,2,1073,95,22.35,818,131.17,0,3,103,43,13,0,Career,55,0,0,0,-,-,-,-,0,0
https://assets.iplt20.com/ipl/IPLHeadshot2022/834.png,Quinton de Kock,Wicketkeeper Batter,Left-handed,N/A,South African,Career,92,6,2764,140*,32.14,2064,133.91,2,19,277,106,62,14,Career,89,0,0,0,-,-,-,-,0,0
https://assets.iplt20.com/ipl/IPLHeadshot2022/20586.png,Ayush Badoni,Bowling Allrounder,Right-handed,Right-arm Offbreak,Indian,Career,13,3,161,54,20.13,130,123.85,0,1,11,7,9,0,Career,13,12,11,2,1/5,5.50,5.50,6.00,0,0
https://assets.iplt20.com/ipl/IPLHeadshot2022/1556.png,Deepak Hooda,Bowling All-rounder,Right-handed,Right-arm Off-spin,Indian,Career,95,14,1236,64,20.26,936,132.05,0,7,77,56,40,0,Career,95,349,501,10,2/16,50.10,8.61,34.90,0,0
https://assets.iplt20.com/ipl/IPLHeadshot2022/3834.png,Krishnappa Gowtham,Bowling Allrounder,Right-handed,Off Spin,Indian,Career,28,6,186,33*,13.29,111,167.57,0,0,13,12,14,0,Career,28,480,661,18,2/12,36.72,8.26,26.67,0,0
https://assets.iplt20.com/ipl/IPLHeadshot2022/20588.png,Karan Sharma,Batting Allrounder,Right-handed,Off Spin,Indian,Career,1,0,4,4,4.00,4,100.00,0,0,1,0,0,0,Career,1,0,0,0,-,-,-,-,0,0
https://assets.iplt20.com/ipl/IPLHeadshot2022/3183.png,Krunal Pandya,All-rounder,Left-handed,Left-arm Orthodox,Indian,Career,98,26,1326,86,22.47,970,136.70,0,1,121,50,35,0,Career,98,1672,2038,61,3/14,33.41,7.31,27.41,0,0
https://assets.iplt20.com/ipl/IPLHeadshot2022/20587.png,Kyle Mayers,All Rounder,Left-handed,Right-arm Medium,West Indian,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
https://assets.iplt20.com/ipl/IPLHeadshot2022/964.png,Marcus Stoinis,All-rounder,Right-handed,Right-arm Medium-fast,Australian,Career,67,18,1070,65,26.10,779,137.36,0,4,83,48,16,0,Career,67,654,1048,34,4/15,30.82,9.61,19.24,1,0
https://assets.iplt20.com/ipl/IPLHeadshot2022/1561.png,Avesh Khan,Bowler,Right-handed,Fast Seam,Indian,Career,38,5,31,12,31.00,19,163.16,0,0,2,3,7,0,Career,38,832,1165,47,4/24,24.79,8.40,17.70,1,0
https://www.iplt20.com/assets/images/default-headshot.png,Mark Wood,Right-handed,Right Arm Fast,English,Career,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
https://assets.iplt20.com/ipl/IPLHeadshot2022/20585.png,Mayank Yadav,Bowler,Right-handed,Right-arm Medium Fast,Indian,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
https://assets.iplt20.com/ipl/IPLHeadshot2022/4952.png,Mohsin Khan,Bowler,Left-handed,Fast Seam,Indian,Career,9,2,23,13*,23.00,16,143.75,0,0,2,1,1,0,Career,9,198,197,14,4/16,14.07,5.97,14.14,1,0
https://assets.iplt20.com/ipl/IPLHeadshot2022/19351.png,Ravi Bishnoi,Bowler,Right-handed,Leg Spin,Indian,Career,37,3,8,6*,4.00,17,47.06,0,0,1,0,7,0,Career,37,840,1054,37,3/24,28.49,7.53,22.70,0,0
https://www.iplt20.com/assets/images/default-headshot.png,Jaydev Unadkat,Bowler,Right-handed,Left-arm Medium Fast,Indian,Career,91,14,164,26,13.67,133,123.31,0,0,13,6,26,0,Career,91,1896,2778,91,5/25,30.53,8.79,20.84,0,2
https://www.iplt20.com/assets/images/default-headshot.png,Yash Thakur,Bowler,Right-handed,Right Arm Fast Medium,Indian,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
https://www.iplt20.com/assets/images/default-headshot.png,Romario Shepherd,All Rounder,Right-handed,Right-arm Fast Medium,West Indian,Career,3,1,58,26*,29.00,41,141.46,0,0,2,5,0,0,Career,3,54,98,3,2/42,32.67,10.89,18.00,0,0
https://www.iplt20.com/assets/images/default-headshot.png,Nicholas Pooran,Wicketkeeper Batter,Left-handed,N/A,West Indian,Career,47,9,912,77,26.06,603,151.24,0,4,52,65,19,1,Career,47,0,0,0,-,-,-,-,0,0
https://www.iplt20.com/assets/images/default-headshot.png,Amit Mishra,Bowler,Right-handed,Right-arm Leg Spin,Indian,Career,147,25,362,31,11.68,389,93.06,0,0,29,5,22,0,Career,154,3245,3980,166,5/17,23.98,7.36,19.55,4,1
https://www.iplt20.com/assets/images/default-headshot.png,Daniel Sams,All-rounder,Right-handed,Left Arm Medium,Australian,Career,16,4,44,15,4.89,44,100.00,0,0,1,3,10,0,Career,16,360,523,14,4/30,37.36,8.72,25.71,1,0
https://www.iplt20.com/assets/images/default-headshot.png,Prerak Mankad,All-rounder,Right-handed,Right-arm Medium,Indian,Career,1,1,4,4*,-,1,400.00,0,0,1,0,1,0,Career,1,0,0,0,-,-,-,-,0,0
https://www.iplt20.com/assets/images/default-headshot.png,Swapnil Singh,Bowling all-rounder,Right-handed,Left-arm Spin,Indian,Career,5,0,12,10*,4.00,20,60.00,0,0,0,0,1,0,Career,5,60,90,1,1/14,90.00,9.00,60.00,0,0
https://www.iplt20.com/assets/images/default-headshot.png,Naveen Ul Haq,Bowler,Right-handed,Right Arm Fast Medium,Afghanistan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
https://www.iplt20.com/assets/images/default-headshot.png,Yudhvir Singh,All-rounder,Right-handed,N/A,Indian,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
