Image,Name,Role,Batting_Style,Bowling_style,Nationality,Bat_Career,Bat_matches,Not_out,Runs,Highest_score,Avg,Ball_faced,Strike_rate,100s,50s,4s,6s,Catches,Stumping,Bowl_Career,Bowl_matches,Bowl_balls,Bowl_runs,Wickets,Best_bowlfig,Bowl_avg,Bowl_Eco,Bowl_strike_rate,Bowl_4W,Bowl_5W
https://assets.iplt20.com/ipl/IPLHeadshot2022/107.png,Rohit Sharma,Batter,Right-handed,Right-arm Off-spin,Indian,Career,227,28,5879,109*,30.30,4526,129.89,1,40,519,240,97,0,Career,227,363,453,15,4/6,30.20,7.49,24.20,1,0
https://assets.iplt20.com/ipl/IPLHeadshot2022/20593.png,Dewald Brevis,Left-handed,Leg Spin,South African,Career,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
https://assets.iplt20.com/ipl/IPLHeadshot2022/108.png,Suryakumar Yadav,Batter,Right-handed,Right-arm Medium,Indian,Career,123,20,2644,82,30.39,1933,136.78,0,16,284,84,58,0,Career,122,6,8,0,0/8,-,8.00,-,0,0
https://assets.iplt20.com/ipl/IPLHeadshot2022/2975.png,Ishan Kishan,Wicketkeeper Batter,Left-handed,N/A,Indian,Career,75,6,1870,99,29.22,1413,132.34,0,12,166,85,32,2,Career,75,0,0,0,-,-,-,-,0,0
https://assets.iplt20.com/ipl/IPLHeadshot2022/10244.png,Arjun Tendulkar,All-rounder,Left-handed,Medium-seam,Indian,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
https://assets.iplt20.com/ipl/IPLHeadshot2022/20598.png,Hrithik Shokeen,Bowler,Right-handed,Right Arm Off Break,Indian,Career,5,1,43,25,21.50,48,89.58,0,0,5,0,2,0,Career,5,90,127,2,2/47,63.50,8.47,45.00,0,0
https://www.iplt20.com/assets/images/default-headshot.png,Jofra Archer,All-rounder,Right-handed,Fast Seam,English,Career,35,10,195,27*,15.00,124,157.26,0,0,11,14,9,0,Career,35,825,981,46,3/15,21.33,7.13,17.93,0,0
https://assets.iplt20.com/ipl/IPLHeadshot2022/20599.png,Mohd. Arshad Khan,All Rounder,Left-handed,Left Arm Medium,Indian,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
https://assets.iplt20.com/ipl/IPLHeadshot2022/20594.png,N. Tilak Varma,Batter,Left-handed,Right Arm Off Break,Indian,Career,14,3,397,61,36.09,303,131.02,0,2,29,16,10,0,Career,14,12,13,0,0/6,-,6.50,-,0,0
https://assets.iplt20.com/ipl/IPLHeadshot2022/20595.png,Ramandeep Singh,Batter,Right-handed,Right Arm Medium,Indian,Career,5,2,45,14*,22.50,40,112.50,0,0,3,1,1,0,Career,5,36,54,6,3/20,9.00,9.00,6.00,0,0
https://assets.iplt20.com/ipl/IPLHeadshot2022/4524.png,Tim David,Batter,Right-handed,Right-arm Medium,Singaporean,Career,9,3,187,46,31.17,89,210.11,0,0,12,16,6,0,Career,8,0,0,0,-,-,-,-,0,0
https://assets.iplt20.com/ipl/IPLHeadshot2022/1124.png,Jasprit Bumrah,Bowler,Right-handed,Right-arm Medium,Indian,Career,120,20,57,16*,8.14,66,86.36,0,0,4,1,15,0,Career,120,2742,3378,145,5/10,23.30,7.39,18.91,2,1
https://www.iplt20.com/assets/images/default-headshot.png,Cameron Green,All-Rounder,Right-handed,Right Arm Fast,Australia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
https://www.iplt20.com/assets/images/default-headshot.png,Jhye Richardson,Bowler,Right-handed,N/A,Australian,Career,3,0,15,15,7.50,24,62.50,0,0,2,0,1,0,Career,3,66,117,3,2/41,39.00,10.64,22.00,0,0
