Image,Name,Role,Batting_Style,Bowling_style,Nationality,Bat_Career,Bat_matches,Not_out,Runs,Highest_score,Avg,Ball_faced,Strike_rate,100s,50s,4s,6s,Catches,Stumping,Bowl_Career,Bowl_matches,Bowl_balls,Bowl_runs,Wickets,Best_bowlfig,Bowl_avg,Bowl_Eco,Bowl_strike_rate,Bowl_4W,Bowl_5W
https://assets.iplt20.com/ipl/IPLHeadshot2022/41.png,Shikhar Dhawan,Batter,Left-handed,N/A,Indian,Career,206,27,6244,106*,35.08,4942,126.35,2,47,701,136,95,0,Career,206,48,93,4,1/7,23.25,11.63,12.00,0,0
https://assets.iplt20.com/ipl/IPLHeadshot2022/20604.png,Bhanuka Rajapaksa,Batter,Left-handed,Right-arm Medium,Sri Lankan,Career,9,0,206,43,22.89,129,159.69,0,0,16,13,4,0,Career,9,0,0,0,-,-,-,-,0,0
https://assets.iplt20.com/ipl/IPLHeadshot2022/3185.png,Jitesh Sharma,Wicket-keeper,Right-handed,N/A,Indian,Career,12,2,234,44,29.25,143,163.64,0,0,22,12,9,2,Career,12,0,0,0,-,-,-,-,0,0
https://assets.iplt20.com/ipl/IPLHeadshot2022/506.png,Jonny Bairstow,Wicketkeeper Batter,Right-handed,N/A,English,Career,39,3,1291,114,35.86,905,142.65,1,9,133,55,20,4,Career,39,0,0,0,-,-,-,-,0,0
https://assets.iplt20.com/ipl/IPLHeadshot2022/5436.png,Prabhsimran Singh,Wicketkeeper Batter,Right-handed,N/A,Indian,Career,6,0,64,16,10.67,66,96.97,0,0,6,2,2,0,Career,4,0,0,0,-,-,-,-,0,0
https://assets.iplt20.com/ipl/IPLHeadshot2022/20603.png,Atharva Taide,All-rounder,Left-handed,Left-arm Spin,Indian,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
https://assets.iplt20.com/ipl/IPLHeadshot2022/5441.png,Harpreet Brar,Bowler,Left-handed,Orthodox,Indian,Career,15,6,106,25*,35.33,95,111.58,0,0,6,5,5,0,Career,15,288,374,9,3/19,41.56,7.79,32.00,0,0
https://assets.iplt20.com/ipl/IPLHeadshot2022/3644.png,Liam Livingstone,Batter,Right-handed,Leg Spin,English,Career,23,3,549,70,27.45,329,166.87,0,4,38,40,13,0,Career,23,144,215,6,3/27,35.83,8.96,24.00,0,0
https://assets.iplt20.com/ipl/IPLHeadshot2022/20601.png,Raj Angad Bawa,All-rounder,Left-handed,Right-arm Medium Fast,Indian,Career,2,0,11,11,5.50,14,78.57,0,0,1,0,0,0,Career,2,0,0,0,-,-,-,-,0,0
https://assets.iplt20.com/ipl/IPLHeadshot2022/1088.png,Rishi Dhawan,All-rounder,Right-handed,Right-arm Medium Fast,Indian,Career,32,12,190,25*,21.11,175,108.57,0,0,17,6,8,0,Career,32,602,796,24,2/14,33.17,7.93,25.08,0,0
https://assets.iplt20.com/ipl/IPLHeadshot2022/7779.png,Shahrukh Khan,Batter,Right-handed,N/A,Indian,Career,19,4,270,47,19.29,222,121.62,0,0,13,19,7,0,Career,19,0,0,0,-,-,-,-,0,0
https://assets.iplt20.com/ipl/IPLHeadshot2022/4698.png,Arshdeep Singh,Bowler,Left-handed,Left Arm Fast-medium,Indian,Career,37,5,23,10*,5.75,35,65.71,0,0,3,0,10,0,Career,37,757,1054,40,5/32,26.35,8.35,18.93,0,1
https://assets.iplt20.com/ipl/IPLHeadshot2022/20607.png,Baltej Dhanda,Bowler,Right-handed,Right-arm Medium Fast,Indian,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
https://assets.iplt20.com/ipl/IPLHeadshot2022/1664.png,Kagiso Rabada,Bowler,Left-handed,Fast Seam,South African,Career,63,10,186,44,11.63,177,105.08,0,0,16,6,25,0,Career,63,1428,1966,99,4/21,19.86,8.26,14.42,6,0
https://assets.iplt20.com/ipl/IPLHeadshot2022/17118.png,Nathan Ellis,Bowler,Right-handed,Fast Seam,Australian,Career,5,1,18,12,9.00,18,100.00,0,0,0,1,1,0,Career,5,108,153,4,3/40,38.25,8.50,27.00,0,0
https://assets.iplt20.com/ipl/IPLHeadshot2022/3763.png,Rahul Chahar,Bowler,Right-handed,Leg Spin,Indian,Career,55,6,108,25*,8.31,100,108.00,0,0,10,4,16,0,Career,55,1180,1477,57,4/27,25.91,7.51,20.70,1,0
https://www.iplt20.com/assets/images/default-headshot.png,Sam Curran,All-rounder,Left-handed,Left Arm Fast Medium,English,Career,32,8,337,55*,22.47,225,149.78,0,2,30,18,10,0,Career,32,648,995,32,4/11,31.09,9.21,20.25,1,0
https://www.iplt20.com/assets/images/default-headshot.png,Sikandar Raza,All-Rounder,Right-handed,Right Arm Off Spin,Zimbabwe,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
https://www.iplt20.com/assets/images/default-headshot.png,Harpreet Bhatia,Batter,Left-handed,Right Arm Medium,Indian,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
https://www.iplt20.com/assets/images/default-headshot.png,Vidwath Kaverappa,Bowler,Right-handed,Right Arm Fast Medium,Indian,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
https://www.iplt20.com/assets/images/default-headshot.png,Mohit Rathee,All-Rounder,Right-handed,Right Arm Leg Spin,Indian,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
https://www.iplt20.com/assets/images/default-headshot.png,Shivam singh,All- rounder,Right-handed,Right Arm Off Spin,Indian,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
