Image,Name,Role,Batting_Style,Bowling_style,Nationality,Bat_Career,Bat_matches,Not_out,Runs,Highest_score,Avg,Ball_faced,Strike_rate,100s,50s,4s,6s,Catches,Stumping,Bowl_Career,Bowl_matches,Bowl_balls,Bowl_runs,Wickets,Best_bowlfig,Bowl_avg,Bowl_Eco,Bowl_strike_rate,Bowl_4W,Bowl_5W
https://assets.iplt20.com/ipl/IPLHeadshot2022/258.png,Sanju Samson,Wicketkeeper Batter,Right-handed,N/A,Indian,Career,138,13,3526,119,29.14,2598,135.72,3,17,279,158,73,12,Career,138,0,0,0,-,-,-,-,0,0
https://assets.iplt20.com/ipl/IPLHeadshot2022/5430.png,Devdutt Padikkal,Batter,Left-handed,Right-arm Offbreak,Indian,Career,46,1,1260,101*,28.00,1013,124.38,1,7,135,36,20,0,Career,46,0,0,0,-,-,-,-,0,0
https://assets.iplt20.com/ipl/IPLHeadshot2022/509.png,Jos Buttler,Wicketkeeper Batter,Right-handed,N/A,English,Career,82,10,2831,124,39.87,1891,149.71,5,15,277,135,43,1,Career,82,0,0,0,-,-,-,-,0,0
https://assets.iplt20.com/ipl/IPLHeadshot2022/1705.png,Shimron Hetmyer,Batter,Left-handed,N/A,West Indian,Career,46,17,831,75,30.78,546,152.20,0,3,55,52,17,0,Career,46,0,0,0,-,-,-,-,0,0
https://assets.iplt20.com/ipl/IPLHeadshot2022/13538.png,Yashasvi Jaiswal,Batter,Left-handed,N/A,Indian,Career,23,0,547,68,23.78,406,134.73,0,3,62,22,6,0,Career,23,1,6,0,0/6,-,36.00,-,0,0
https://assets.iplt20.com/ipl/IPLHeadshot2022/20620.png,Dhruv Jurel,Wicket-keeper,Right-handed,N/A,Indian,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
https://assets.iplt20.com/ipl/IPLHeadshot2022/8.png,Ravichandran Ashwin,Bowling All-rounder,Right-handed,Right-arm Off-spin,Indian,Career,184,27,647,50,13.48,550,117.64,0,1,51,21,42,0,Career,184,3900,4535,157,4/34,28.89,6.98,24.84,1,0
https://assets.iplt20.com/ipl/IPLHeadshot2022/4445.png,Riyan Parag,Batter,Right-handed,Right-arm Legbreak,Indian,Career,47,6,522,56*,16.84,418,124.88,0,2,40,22,29,0,Career,47,157,280,4,1/10,70.00,10.70,39.25,0,0
https://assets.iplt20.com/ipl/IPLHeadshot2022/2743.png,KC Cariappa,Bowler,Right-handed,Leg-break,Indian,Career,11,2,24,12*,8.00,21,114.29,0,0,0,2,3,0,Career,11,216,348,8,2/16,43.50,9.67,27.00,0,0
https://assets.iplt20.com/ipl/IPLHeadshot2022/20616.png,Kuldeep Sen,Bowler,Right-handed,Right-arm Fast-medium,Indian,Career,7,1,0,0*,-,3,0.00,0,0,0,0,3,0,Career,7,151,237,8,4/20,29.63,9.42,18.88,1,0
https://assets.iplt20.com/ipl/IPLHeadshot2022/12480.png,Kuldip Yadav,Bowler,Left-handed,Left Arm Medium,Indian,Career,1,1,0,0*,-,4,0.00,0,0,0,0,0,0,Career,1,12,16,0,0/16,-,8.00,-,0,0
https://assets.iplt20.com/ipl/IPLHeadshot2022/3824.png,Navdeep Saini,Bowler,Right-handed,Right Arm Fast,Indian,Career,30,3,33,12*,8.25,37,89.19,0,0,3,0,8,0,Career,30,622,900,20,2/24,45.00,8.68,31.10,0,0
https://assets.iplt20.com/ipl/IPLHeadshot2022/20618.png,Obed McCoy,Left-handed,Left Arm Fast,West Indian,Career,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
https://www.iplt20.com/assets/images/default-headshot.png,KM Asif,Bowler,Right-handed,Medium Seam,Indian,Career,3,0,0,0,-,0,-,0,0,0,0,0,0,Career,3,49,93,4,2/43,23.25,11.39,12.25,0,0
https://assets.iplt20.com/ipl/IPLHeadshot2022/5105.png,Prasidh Krishna,Bowler,Right-handed,Medium Seam,Indian,Career,51,7,9,4*,3.00,24,37.50,0,0,0,0,9,0,Career,51,1145,1703,49,4/30,34.76,8.92,23.37,1,0
https://assets.iplt20.com/ipl/IPLHeadshot2022/969.png,Trent Boult,Bowler,Right-handed,Left-arm Fast-medium,New Zealander,Career,78,13,53,17*,10.60,48,110.42,0,0,2,2,25,0,Career,78,1789,2475,92,4/18,26.90,8.30,19.45,1,0
https://www.iplt20.com/assets/images/default-headshot.png,Murugan Ashwin,Bowler,Right-handed,Leg-break,Indian,Career,42,4,35,9,3.89,50,70.00,0,0,2,1,7,0,Career,42,846,1109,35,3/21,31.69,7.87,24.17,0,0
https://assets.iplt20.com/ipl/IPLHeadshot2022/111.png,Yuzvendra Chahal,Bowler,Right-handed,Right-arm Leg Spin,Indian,Career,131,13,37,8*,5.29,86,43.02,0,0,0,0,24,0,Career,131,2856,3624,166,5/40,21.83,7.61,17.20,3,1
https://www.iplt20.com/assets/images/default-headshot.png,Jason Holder,All-rounder,Right-handed,Right-arm Medium Fast,West Indian,Career,38,5,247,47*,13.00,200,123.50,0,0,13,17,11,0,Career,38,824,1177,49,4/52,24.02,8.57,16.82,1,0
https://www.iplt20.com/assets/images/default-headshot.png,Akash Vashisht,All-Rounder,Left-handed,Left Arm Slow Orthodox,Indian,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
https://www.iplt20.com/assets/images/default-headshot.png,Kunal Rathore,Wicketkeeper,Left-handed,N/A,Indian,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
https://www.iplt20.com/assets/images/default-headshot.png,Donovan Ferreira,Wicketkeeper,Right-handed,N/A,South Africa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
https://www.iplt20.com/assets/images/default-headshot.png,Adam Zampa,Bowler,Right-handed,Legbreak Googly,Australian,Career,11,0,5,5*,2.50,8,62.50,0,0,1,0,0,0,Career,14,287,370,21,6/19,17.62,7.74,13.67,0,1
https://www.iplt20.com/assets/images/default-headshot.png,Abdul P A,All-Rounder,Right-handed,Right Arm Off Spin,Indian,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
https://www.iplt20.com/assets/images/default-headshot.png,Joe Root ,Batter,Right-handed,Right Arm Off Spin,England,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
