Image,Name,Role,Batting_Style,Bowling_style,Nationality,Bat_Career,Bat_matches,Not_out,Runs,Highest_score,Avg,Ball_faced,Strike_rate,100s,50s,4s,6s,Catches,Stumping,Bowl_Career,Bowl_matches,Bowl_balls,Bowl_runs,Wickets,Best_bowlfig,Bowl_avg,Bowl_Eco,Bowl_strike_rate,Bowl_4W,Bowl_5W
https://assets.iplt20.com/ipl/IPLHeadshot2022/24.png,Faf du Plessis,Batter,Right-handed,Right-arm Leg Spin,South African,Career,116,10,3403,96,34.37,2606,130.58,0,25,314,109,70,0,Career,116,6,16,0,0/16,-,16.00,-,0,0
https://assets.iplt20.com/ipl/IPLHeadshot2022/3020.png,Finn Allen,Wicketkeeper Batter,Right-handed,N/A,New Zealander,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
https://assets.iplt20.com/ipl/IPLHeadshot2022/5471.png,Rajat Patidar,Batter,Right-handed,N/A,Indian,Career,12,1,404,112*,40.40,280,144.29,1,2,30,21,5,0,Career,12,0,0,0,-,-,-,-,0,0
https://assets.iplt20.com/ipl/IPLHeadshot2022/164.png,Virat Kohli,Batter,Right-handed,Right-arm Medium,Indian,Career,223,32,6624,113,36.20,5129,129.15,5,44,578,218,94,0,Career,223,251,368,4,2/25,92.00,8.80,62.75,0,0
https://assets.iplt20.com/ipl/IPLHeadshot2022/10788.png,Anuj Rawat,Wicketkeeper Batter,Left-handed,N/A,Indian,Career,10,0,129,66,14.33,119,108.40,0,1,10,7,9,0,Career,10,0,0,0,-,-,-,-,0,0
https://assets.iplt20.com/ipl/IPLHeadshot2022/102.png,Dinesh Karthik,Wicketkeeper Batter,Right-handed,N/A,Indian,Career,229,45,4376,97*,26.85,3299,132.65,0,20,426,134,133,34,Career,229,0,0,0,-,-,-,-,0,0
https://assets.iplt20.com/ipl/IPLHeadshot2022/2758.png,David Willey,Bowling Allrounder,Left-handed,Left-arm Fast-medium,English,Career,7,0,18,18,9.00,30,60.00,0,0,3,0,3,0,Career,7,126,167,3,1/24,55.67,7.95,42.00,0,0
https://assets.iplt20.com/ipl/IPLHeadshot2022/282.png,Glenn Maxwell,All-rounder,Right-handed,Right-arm Off-spin,Australian,Career,110,15,2319,95,25.48,1507,153.88,0,13,197,127,40,0,Career,110,786,1080,28,2/15,38.57,8.24,28.07,0,0
https://assets.iplt20.com/ipl/IPLHeadshot2022/157.png,Harshal Patel,Bowler,Right-handed,Right-arm Medium,Indian,Career,78,14,230,36*,10.45,178,129.21,0,0,15,13,18,0,Career,78,1585,2218,97,5/27,22.87,8.40,16.34,2,1
https://assets.iplt20.com/ipl/IPLHeadshot2022/2970.png,Mahipal Lomror,All-rounder,Left-handed,Left-arm Spin,Indian,Career,18,2,267,47,20.54,208,128.37,0,0,15,13,3,0,Career,18,72,92,1,1/22,92.00,7.67,72.00,0,0
