Image,Name,Role,Batting_Style,Bowling_style,Nationality,Bat_Career,Bat_matches,Not_out,Runs,Highest_score,Avg,Ball_faced,Strike_rate,100s,50s,4s,6s,Catches,Stumping,Bowl_Career,Bowl_matches,Bowl_balls,Bowl_runs,Wickets,Best_bowlfig,Bowl_avg,Bowl_Eco,Bowl_strike_rate,Bowl_4W,Bowl_5W
https://assets.iplt20.com/ipl/IPLHeadshot2022/19352.png,Abdul Samad,Batter,Right-handed,Right-arm Legbreak,Indian,Career,25,4,226,33,14.13,159,142.14,0,0,12,14,14,0,Career,25,54,113,2,1/41,56.50,12.56,27.00,0,0
https://assets.iplt20.com/ipl/IPLHeadshot2022/1667.png,Aiden Markram,Batter,Right-handed,Right-arm Offbreak,South African,Career,20,5,527,68*,40.54,393,134.10,0,3,37,23,9,0,Career,20,60,87,1,1/8,87.00,8.70,60.00,0,0
https://assets.iplt20.com/ipl/IPLHeadshot2022/3838.png,Rahul Tripathi,Batter,Right-handed,N/A,Indian,Career,76,10,1798,93,28.09,1277,140.80,0,10,176,68,29,0,Career,76,6,12,0,0/12,-,12.00,-,0,0
https://assets.iplt20.com/ipl/IPLHeadshot2022/3027.png,Glenn Phillips,Wicketkeeper Batter,Right-handed,Right-arm Offbreak,New Zealander,Career,3,1,26,14*,13.00,33,78.79,0,0,1,2,1,0,Career,3,12,20,1,1/17,20.00,10.00,12.00,0,0
https://assets.iplt20.com/ipl/IPLHeadshot2022/3760.png,Abhishek Sharma,All-rounder,Left-handed,Left-arm Orthodox,Indian,Career,36,6,667,75,23.82,493,135.29,0,2,64,25,7,0,Career,36,156,214,7,2/4,30.57,8.23,22.29,0,0
https://assets.iplt20.com/ipl/IPLHeadshot2022/17068.png,Marco Jansen,All-rounder,Right-handed,Left-arm Fast Medium,South African,Career,10,2,9,8*,3.00,10,90.00,0,0,0,1,4,0,Career,10,228,319,9,3/25,35.44,8.39,25.33,0,0
https://assets.iplt20.com/ipl/IPLHeadshot2022/2973.png,Washington Sundar,All-rounder,Left-handed,Right Arm Offbreak,Indian,Career,51,11,318,40,14.45,264,120.45,0,0,26,9,10,0,Career,51,918,1106,33,3/16,33.52,7.23,27.82,0,0
https://assets.iplt20.com/ipl/IPLHeadshot2022/116.png,Bhuvneshwar Kumar,Bowler,Right-handed,Right-arm Medium,Indian,Career,146,27,241,24*,8.03,250,96.40,0,0,23,3,29,0,Career,146,3262,3971,154,5/19,25.79,7.30,21.18,2,1
https://assets.iplt20.com/ipl/IPLHeadshot2022/20610.png,Fazalhaq Farooqi,Bowler,Right-handed,Left-arm Fast Medium,Afghan,Career,3,1,2,2*,-,8,25.00,0,0,0,0,0,0,Career,3,72,110,2,2/32,55.00,9.17,36.00,0,0
https://assets.iplt20.com/ipl/IPLHeadshot2022/10059.png,Kartik Tyagi,Bowler,Right-handed,Right-arm Fast-medium,Indian,Career,16,3,13,7,3.25,16,81.25,0,0,1,0,3,0,Career,16,361,570,14,2/29,40.71,9.47,25.79,0,0
https://assets.iplt20.com/ipl/IPLHeadshot2022/3831.png,T Natarajan,Bowler,Left-handed,Left-arm Fast-medium,Indian,Career,35,3,3,3*,3.00,5,60.00,0,0,0,0,4,0,Career,35,759,1094,38,3/10,28.79,8.65,19.97,0,0
https://assets.iplt20.com/ipl/IPLHeadshot2022/15154.png,Umran Malik,Bowler,Right-handed,Right-arm Fast,Indian,Career,17,3,4,3*,4.00,8,50.00,0,0,0,0,5,0,Career,17,367,540,24,5/25,22.50,8.83,15.29,1,1
https://www.iplt20.com/assets/images/default-headshot.png,Harry Brook,Batter,Right-handed,Right Arm Medium,England,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
https://www.iplt20.com/assets/images/default-headshot.png,Mayank Agarwal,Batter,Right-handed,Right Arm Off Spin,Indian,Career,113,4,2327,106,22.59,1733,134.28,1,12,226,91,50,0,Career,113,0,0,0,-,-,-,-,0,0
https://www.iplt20.com/assets/images/default-headshot.png,Akeal Hosein,Bowler,Left-handed,Left Arm Slow Orthodox,West Indies,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
https://www.iplt20.com/assets/images/default-headshot.png,Heinrich Klaasen,Wicketkeeper Batter,Right-handed,N/A,South African,Career,7,1,66,32,13.20,57,115.79,0,0,5,1,3,4,Career,4,0,0,0,-,-,-,-,0,0
https://www.iplt20.com/assets/images/default-headshot.png,Anmolpreet Singh,Batter,Right-handed,Right-arm Offbreak,Indian,Career,3,0,29,16,9.67,27,107.41,0,0,3,1,0,0,Career,3,0,0,0,-,-,-,-,0,0
https://www.iplt20.com/assets/images/default-headshot.png,Adil Rashid,Bowler,Right-handed,Right Arm Leg Spin,English,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
https://www.iplt20.com/assets/images/default-headshot.png,Mayank Markande,Bowler,Right-handed,Leg Spin,Indian,Career,20,5,27,7*,9.00,29,93.10,0,0,3,0,5,0,Career,20,360,510,17,4/23,30.00,8.50,21.18,1,0
https://www.iplt20.com/assets/images/default-headshot.png,Vivrant Sharma,All-Rounder,Left-handed,Right Arm Leg Spin,Indian,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
https://www.iplt20.com/assets/images/default-headshot.png,Mayank Dagar,All-rounder,Right-handed,N/A,Indian,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
https://www.iplt20.com/assets/images/default-headshot.png,Samarth Vyas,All-Rounder,Right-handed,Right Arm Leg Spin,Indian,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
https://www.iplt20.com/assets/images/default-headshot.png,Sanvir Singh,All-Rounder,Right-handed,Right Arm Fast,Indian,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
https://www.iplt20.com/assets/images/default-headshot.png,Upendra Singh Yadav,Wicketkeeper,Right-handed,N/A,Indian,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
